Vmag,Plx,e_Plx,B-V,Amag,target
8.9,9.35,0.75,0.433,18.754059,1
7.94,2.01,1.08,1.326,14.45598,0
7.97,33.03,0.92,0.805,20.564543,1
8.6,3.96,1.1,0.96,16.588476,0
8.18,5.13,0.95,1.13,16.730587,0
9.03,3.04,1.29,0.64,16.444366,1
7.78,2.39,1.15,-0.084,14.671989,1
8.34,5.35,1.17,1.097,16.98177,0
7.59,16.16,1.19,0.515,18.632206,1
9.37,7.25,1.54,0.675,18.67169,1
7.59,11.68,0.85,0.423,17.927216,1
7.4,17.92,0.66,0.465,18.666689,1
7.71,4.82,0.59,-0.048,16.125237,1
6.99,3.89,0.59,1.137,14.939748,0
8.75,12.45,1.19,0.434,19.225845,1
8.54,1.81,0.65,0.046,14.828392,0
9.59,7.31,1.8,0.287,18.909588,1
6.09,7.62,0.51,1.176,15.499775,0
8.31,2.32,1.09,1.08,15.13744,0
8.82,8.06,1.43,0.446,18.351675,1
6.45,0.66,0.59,0.32,10.54772,0
7.47,7.84,0.91,0.375,16.94158,0
9.62,3.68,0.82,0.41,17.44924,1
7.99,10.03,1.0,0.607,17.996504,1
5.78,10.41,0.67,1.045,15.867254,0
8.11,1.88,1.23,1.627,14.480789,0
7.84,10.36,1.6,0.485,17.9168,1
8.64,-0.69,2.63,1.291,12.834246,0
7.31,4.8,0.97,1.51,15.716206,1
8.77,1.39,1.44,1.534,14.485075,0
9.15,48.49,1.23,1.175,22.57826,1
9.09,2.82,1.15,0.45,16.341246,1
8.29,14.88,1.09,0.521,19.153015,1
8.24,9.43,1.21,0.455,18.112558,1
7.65,0.67,1.0,-0.006,11.780375,1
8.85,1.29,1.22,1.093,14.402949,0
8.15,1.69,0.83,-0.02,14.289433,1
7.14,7.19,0.91,0.093,16.423645,1
8.01,15.2,0.98,0.497,18.91922,1
7.61,2.79,0.72,1.243,14.838021,0
8.19,2.71,0.65,0.875,15.354846,0
8.0,2.13,0.61,-0.032,14.641898,1
6.82,4.93,1.2,0.76,15.284235,0
5.57,3.49,0.49,1.116,13.284128,0
8.83,3.1,1.93,0.16,16.286808,0
9.32,13.97,1.3,0.615,20.045982,1
8.12,2.15,0.9,1.639,14.782192,0
9.65,1.48,0.94,0.341,15.501308,0
8.8,1.17,1.27,-0.03,14.140929,1
10.32,5.83,3.87,0.63,19.148342,1
8.02,2.99,6.08,0.247,15.398356,0
8.52,1.38,0.72,-0.02,14.219397,0
8.04,3.8,0.92,1.113,15.938918,0
8.18,8.05,1.33,0.369,17.70898,0
8.46,-0.15,0.78,-0.052,9.340457,1
8.34,3.24,0.8,1.072,15.892725,0
7.17,3.69,0.51,1.322,15.005132,0
7.33,2.28,0.81,-0.013,14.119675,1
8.84,1.76,1.26,1.003,15.067564,0
8.56,3.16,1.43,-0.004,16.058435,1
8.95,1.68,0.84,0.996,15.076546,0
7.27,3.56,0.92,0.838,15.02725,0
7.77,3.47,1.05,1.133,15.471647,0
7.64,2.53,1.0,1.68,14.655602,0
8.35,6.81,0.65,0.364,17.515736,1
7.82,20.1,1.18,0.661,19.33598,1
3.94,11.66,0.77,-0.12,14.273493,1
8.63,1.46,1.34,1.028,14.451765,1
8.33,3.61,0.92,0.1,16.117537,1
8.85,0.24,1.02,1.043,10.751057,0
8.81,3.42,0.82,1.064,16.480131,1
4.09,9.36,0.81,1.616,13.946379,0
7.59,3.2,0.59,-0.107,15.115749,1
6.53,7.44,0.87,1.163,15.887865,0
8.98,1.28,1.08,1.164,14.516049,0
7.89,4.97,1.03,1.484,16.37178,0
7.79,6.66,0.95,0.141,16.907372,0
9.23,0.83,1.27,1.905,13.82539,0
8.44,5.47,1.19,0.442,17.129936,1
8.05,6.65,1.05,0.215,17.164108,1
9.3,3.13,1.29,1.008,16.777721,0
7.76,0.99,0.86,1.419,12.738176,0
8.67,7.41,1.13,0.301,18.01909,1
7.01,1.09,0.93,1.235,12.197132,0
6.71,5.27,1.01,0.976,15.319053,0
7.22,0.55,1.04,1.63,10.921813,0
5.67,22.19,0.67,0.367,17.400787,1
8.59,2.71,0.94,1.095,15.754847,0
9.24,1.77,0.86,0.05,15.479866,1
6.45,2.52,0.65,1.474,13.457003,0
6.29,13.31,0.88,0.39,16.910889,1
8.76,7.23,1.05,0.611,18.05569,1
8.94,3.06,1.54,0.51,16.368607,0
8.45,2.86,1.14,1.17,15.731831,0
9.38,3.96,1.34,0.705,17.368477,1
5.13,8.88,0.94,1.011,14.872065,0
9.1,1.89,0.93,1.254,15.482309,0
8.15,7.77,2.83,1.096,17.602104,0
6.0,8.16,0.72,0.993,15.558451,0
5.51,27.84,0.88,0.334,17.733347,1
8.71,2.11,1.09,0.987,15.331412,1
8.89,8.49,1.9,0.756,18.534538,1
7.71,5.8,0.6,0.233,16.52714,1
9.46,7.59,2.17,0.8,18.86121,1
9.11,4.09,1.32,0.701,17.168617,1
8.62,3.63,1.15,1.201,16.419533,0
9.25,6.17,1.33,0.555,18.201426,1
8.4,7.88,1.34,0.532,17.88263,1
8.68,1.77,0.88,0.969,14.919867,0
8.46,6.36,1.13,1.013,17.477285,0
8.68,0.69,0.95,1.53,12.874246,0
7.46,5.23,1.0,1.057,16.05251,0
7.95,3.45,0.84,1.018,15.639095,0
4.23,116.38,0.64,0.576,19.559391,1
4.8,23.23,0.8,0.008,16.630245,1
6.95,3.97,1.01,1.476,14.943953,0
7.32,4.91,0.74,0.91,15.775408,0
8.91,2.87,0.9,1.337,16.19941,0
8.69,4.1,1.07,1.194,16.753918,0
8.24,1.8,0.88,1.36,14.516362,0
9.38,0.15,1.86,0.58,10.260457,0
7.09,12.96,0.76,0.508,17.653027,1
8.34,0.75,1.1,1.488,12.715306,0
8.3,3.87,1.23,1.115,16.238556,0
9.0,4.3,3.09,0.434,17.167343,1
10.56,5.63,2.07,0.48,19.312542,1
6.96,5.57,0.82,1.172,15.689276,0
8.61,1.42,0.77,1.211,14.371441,0
6.85,6.71,0.89,0.901,15.983612,0
8.84,2.83,1.37,1.08,16.098932,0
8.4,3.24,0.74,1.04,15.952724,0
8.35,1.92,1.27,2.287,14.766506,0
9.08,3.25,1.57,1.254,16.639416,0
8.54,1.65,1.08,1.101,14.62742,0
8.86,3.36,1.13,0.146,16.491695,1
6.56,14.86,1.46,0.413,17.420094,1
7.98,41.84,1.19,0.857,21.087957,1
5.77,3.88,0.7,1.661,13.714159,0
9.93,5.67,1.5,0.195,18.697916,0
8.43,10.29,1.32,0.507,18.492077,1
6.49,10.31,0.82,0.286,16.556293,0
8.41,19.12,1.41,0.71,19.81744,1
8.5,4.08,0.74,0.711,16.5533,1
8.45,6.44,0.76,0.484,17.494429,1
5.74,28.61,0.83,0.968,18.022589,1
8.4,14.02,2.11,0.687,19.13374,1
7.67,25.5,0.69,0.604,19.702702,1
9.37,-0.71,1.49,0.296,13.626291,0
6.06,12.0,0.96,0.074,16.455906,1
6.74,4.3,0.87,0.001,14.907342,0
9.27,5.43,1.38,0.529,17.944,1
7.68,3.54,0.77,0.151,15.425016,1
6.53,4.2,0.83,-0.1,14.646246,1
6.53,4.93,0.66,1.388,14.994234,0
8.35,2.37,0.69,0.987,15.223742,0
5.7,11.23,0.76,0.964,15.951899,0
6.43,12.79,0.64,0.161,16.964354,1
8.69,8.58,0.76,1.006,18.357437,0
9.12,2.33,1.41,1.008,15.9567795,0
5.88,14.54,0.82,0.072,16.692822,1
10.33,-3.24,5.83,3.0,17.882725,0
8.2,-1.16,1.02,1.05,13.522289,0
6.96,1.57,0.86,1.536,12.939499,0
6.47,26.44,0.76,0.648,18.581306,1
7.42,2.2,0.81,1.494,14.132113,0
9.25,4.46,0.81,0.518,17.496674,1
4.98,11.56,0.75,0.088,15.294788,1
8.71,3.89,1.23,1.109,16.659748,0
6.89,4.78,0.94,1.434,15.28714,0
7.91,5.94,0.95,0.442,16.77893,1
7.22,0.36,0.94,1.89,10.001513,0
7.08,20.46,0.83,0.498,18.634527,1
9.52,1.28,1.07,-0.07,15.05605,1
4.84,14.21,0.45,0.981,15.60297,0
8.5,1.46,0.79,1.249,14.321764,0
8.01,13.7,1.18,0.586,18.693604,1
7.49,4.78,0.9,1.082,15.887139,0
9.26,2.52,1.28,1.82,16.267002,0
7.8,3.42,0.72,0.953,15.470131,0
8.07,6.55,0.78,0.833,17.151207,1
8.47,2.47,0.75,-0.011,15.433485,0
8.4,1.02,1.23,1.865,13.443001,0
5.66,11.18,0.87,0.042,15.902209,1
7.25,4.25,0.57,-0.078,15.391945,1
9.09,11.5,1.25,0.738,19.39349,1
6.85,20.01,0.87,0.569,18.356236,1
6.2,5.22,0.98,1.229,14.788352,0
8.87,1.86,0.95,1.256,15.217565,0
7.87,4.75,0.73,0.902,16.253468,1
7.97,3.71,1.08,0.159,15.81687,1
8.99,3.57,1.35,1.09,16.753342,0
8.1,3.0,0.7,1.219,15.485607,0
9.05,0.35,1.32,1.005,11.77034,0
7.81,2.27,0.92,-0.036,14.590129,1
8.04,21.76,1.46,0.651,19.728294,1
9.47,2.99,1.41,0.277,16.848356,1
10.08,0.31,2.36,0.09,12.536808,0
7.89,3.62,0.8,0.93,15.683542,0
8.09,10.76,0.91,0.605,18.249062,1
7.19,5.64,0.82,1.09,15.946396,0
7.49,7.76,0.83,0.421,16.939308,1
8.59,4.67,0.93,0.453,16.936584,0
8.29,10.61,0.67,0.497,18.418575,1
8.03,3.53,1.28,1.67,15.768873,0
5.04,3.74,0.54,1.589,12.904358,0
8.82,1.35,1.16,1.693,14.471668,0
7.55,9.87,1.01,0.985,17.521587,0
8.23,6.18,1.07,0.515,17.184942,1
6.45,3.43,1.49,0.971,14.126471,0
7.88,3.96,1.09,1.129,15.868477,0
8.61,1.8,1.15,1.383,14.886362,0
8.09,0.85,1.22,1.431,12.737095,0
8.12,2.57,0.98,1.578,15.169665,0
7.26,1.57,0.93,1.62,13.239499,0
7.85,3.68,0.97,0.118,15.679239,1
7.96,1.33,1.06,1.36,13.579258,0
7.69,10.86,1.53,0.496,17.869148,1
8.73,7.02,1.06,0.599,17.961685,1
6.94,41.25,0.88,0.62,20.01712,1
9.29,8.48,1.15,0.621,18.93198,1
9.05,1.32,1.04,1.231,14.65287,0
7.7,13.0,0.73,0.744,18.269716,1
3.89,1.65,0.62,1.74,9.97742,0
7.52,4.44,1.23,0.8,15.756914,0
7.6,2.95,0.99,1.81,14.94911,0
6.34,6.64,0.47,1.298,15.450841,0
8.31,3.15,1.1,0.036,15.801554,1
7.96,3.8,1.0,1.238,15.858918,0
6.48,4.89,0.69,0.664,14.926544,1
9.09,4.62,1.08,0.362,17.41321,1
8.62,2.07,0.91,-0.043,15.199852,1
8.45,5.13,1.99,0.976,17.000587,0
11.15,8.56,9.29,0.42,20.812368,1
5.3,8.19,0.73,0.075,14.86642,1
6.7,7.23,0.64,1.294,15.995691,0
7.01,3.18,1.03,1.596,14.522136,0
8.6,6.9,0.9,0.559,17.794247,1
8.61,5.75,1.24,1.26,17.40834,0
7.51,3.63,0.65,0.088,15.309534,1
6.56,5.16,0.76,0.149,15.123249,1
8.19,6.05,0.76,0.11,17.098778,1
8.17,22.32,1.1,0.757,19.913471,1
8.58,9.47,1.22,0.466,18.46175,1
7.28,10.68,0.9,0.407,17.422855,1
6.1,2.91,0.57,-0.1,13.419464,1
6.61,2.23,0.65,-0.175,13.351524,0
6.99,0.58,0.88,1.426,10.807139,0
8.43,4.49,1.26,1.167,16.69123,0
8.36,0.39,2.08,0.434,11.315323,1
8.29,5.67,0.98,0.911,17.057915,1
8.36,1.61,0.79,-0.026,14.394129,1
8.55,2.13,1.75,0.98,15.191898,0
8.13,8.28,0.87,0.803,17.72015,1
8.77,1.0,1.37,0.229,13.77,0
8.58,-2.4,1.27,3.315,15.481056,0
8.29,2.74,0.92,0.018,15.478753,1
7.76,3.25,0.8,1.588,15.319417,0
7.76,11.38,0.87,0.451,18.040712,1
5.34,1.73,0.57,0.01,11.5302305,0
6.83,4.01,0.85,1.601,14.845722,0
8.33,2.46,1.25,1.124,15.284676,0
4.3,4.85,0.84,-0.154,12.728708,0
8.45,2.0,0.78,1.422,14.955151,0
10.45,-0.89,2.15,0.897,15.19695,0
8.26,6.61,1.26,0.414,17.361008,1
9.31,11.63,1.88,0.6,19.637897,1
8.84,7.57,1.28,0.399,18.23548,1
9.63,14.25,1.5,0.84,20.399075,1
7.8,0.82,0.85,0.296,12.369069,0
5.12,23.67,0.48,0.349,16.99099,1
7.8,-0.7,0.6,-0.019,12.02549,0
6.51,1.7,0.95,1.677,12.662245,0
9.93,3.5,0.98,0.522,17.650341,1
7.84,4.71,0.78,0.318,16.205105,1
7.95,3.41,0.98,1.572,15.613771,0
6.44,1.22,0.96,1.813,11.871799,0
4.97,7.97,0.69,1.6,14.477291,0
8.86,3.89,1.83,1.035,16.809748,0
9.41,5.06,1.6,0.433,17.930752,1
9.02,17.69,0.9,0.671,20.25864,1
8.4,4.07,1.12,1.182,16.447971,0
7.3,3.87,0.64,1.374,15.238555,0
7.35,1.27,0.77,1.681,12.869019,0
8.23,4.74,0.76,0.093,16.60889,1
9.05,4.73,0.94,0.909,17.424305,1
8.24,4.49,1.36,0.223,16.501232,1
7.92,4.12,0.95,0.223,15.994486,1
7.43,8.33,0.95,0.221,17.033224,1
9.26,11.09,1.45,0.605,19.484657,1
6.27,10.96,1.03,0.274,16.469053,1
10.01,11.31,1.61,0.752,20.277313,1
8.61,2.78,1.2,1.367,15.830224,0
4.66,17.31,0.65,1.075,15.851484,0
6.93,1.74,0.7,1.201,13.132746,0
8.3,2.57,1.01,1.469,15.349666,0
7.78,5.52,0.91,0.078,16.489697,0
8.9,9.27,3.25,1.0,18.735397,1
6.97,1.83,0.67,1.64,13.282255,0
9.09,8.78,1.67,0.685,18.807472,1
6.28,10.17,1.23,0.056,16.316605,0
8.78,2.32,0.88,1.113,15.607439,0
9.18,9.65,1.49,0.602,19.102638,1
9.9,4.83,1.87,0.506,18.319735,1
8.77,14.04,1.05,0.609,19.506836,1
7.52,4.08,0.99,1.473,15.573301,0
8.85,1.88,0.81,1.102,15.22079,0
8.28,2.68,1.1,1.064,15.420673,0
7.63,3.75,1.04,1.2,15.500156,0
8.07,0.53,1.01,0.144,11.691379,0
9.49,18.68,2.36,0.854,20.846884,1
8.17,1.77,0.81,0.142,14.409866,1
9.44,4.53,0.92,0.94,17.72049,1
4.32,19.31,0.83,1.021,15.748911,0
8.06,6.65,1.39,0.233,17.174109,0
9.06,5.51,1.25,0.483,17.765759,1
7.64,7.56,0.92,0.118,17.032608,0
6.91,8.54,1.98,0.352,16.56729,1
7.14,6.65,0.84,0.341,16.254108,0
7.82,5.99,1.18,1.293,16.707134,0
8.62,1.75,1.13,0.31,14.83519,1
8.08,6.51,1.22,0.351,17.147905,1
8.76,4.54,1.16,1.022,17.04528,0
8.58,3.83,1.13,0.166,16.495995,1
6.24,8.82,0.77,1.001,15.967342,0
8.71,-1.32,1.22,0.449,14.31287,1
3.85,18.72,0.81,1.317,15.211531,0
7.93,2.7,0.93,1.317,15.086819,0
9.53,0.4,1.63,1.08,12.540299,1
4.66,12.22,0.69,-0.039,15.095356,1
8.89,4.88,1.47,1.093,17.3321,0
9.63,1.3,1.82,0.385,15.199717,1
7.19,0.84,0.98,1.583,11.811397,0
8.23,1.26,1.01,1.613,13.731852,0
9.27,3.92,1.08,0.264,17.236431,1
8.1,3.63,0.89,0.979,15.899534,0
5.55,8.49,0.85,0.907,15.194538,0
9.54,2.54,1.17,0.043,16.564169,1
6.9,5.13,0.74,0.961,15.450586,0
8.56,10.31,1.11,0.512,18.626293,0
7.41,3.63,0.89,1.428,15.209534,0
7.76,2.6,0.9,1.07,14.8348675,0
8.27,17.49,1.39,-0.4,19.48395,1
10.12,5.05,1.7,0.516,18.636456,1
6.57,16.2,1.87,0.363,17.617575,1
9.54,0.58,1.3,1.282,13.35714,0
9.74,8.67,1.46,0.569,19.430096,1
9.78,1.23,1.36,-0.001,15.229526,0
8.48,12.81,1.12,0.69,19.017746,1
8.47,6.46,1.32,0.626,17.521164,1
9.2,2.02,0.96,0.161,15.726757,1
8.94,2.55,0.89,0.98,15.9727,1
8.26,4.52,1.02,1.14,16.535692,0
7.2,1.49,0.54,-0.116,13.065931,1
8.73,1.92,1.83,0.016,15.146505,1
5.55,11.39,1.04,1.114,15.83262,0
7.7,5.89,0.62,0.151,16.550575,1
7.98,3.8,0.65,1.212,15.878918,0
8.29,4.22,0.64,0.155,16.416561,1
8.81,1.06,0.99,-0.009,13.936529,1
10.03,4.77,0.99,0.345,18.422592,1
8.87,5.61,3.2,0.695,17.614815,1
6.05,16.13,0.52,0.338,17.088173,0
6.68,2.09,0.86,0.578,13.280731,0
8.99,0.08,0.85,0.989,8.505449,0
8.1,4.7,1.47,0.132,16.460491,1
8.2,5.61,0.91,0.243,16.944813,1
8.51,10.76,1.08,0.463,18.669062,1
6.8,15.23,0.53,0.343,17.713501,0
6.57,3.05,0.59,1.653,13.991499,0
9.07,2.11,3.41,1.076,15.691412,0
5.5,12.2,0.76,-0.069,15.9318,1
0.18,4.22,0.81,-0.03,8.306562,0
8.91,10.85,1.16,0.657,19.087149,1
8.69,3.74,1.25,0.216,16.554358,1
10.1,2.61,1.61,0.381,17.183203,0
5.62,16.32,0.75,0.066,16.683601,1
7.39,7.56,1.01,1.061,16.782608,0
6.35,4.82,0.87,1.683,14.765236,0
8.76,5.06,1.13,0.784,17.280752,1
8.37,3.6,1.2,1.527,16.151512,0
9.29,6.5,1.4,0.45,18.354568,1
8.99,23.82,1.09,0.865,20.874708,1
6.51,2.59,0.53,-0.127,13.576499,0
6.98,5.56,0.75,1.013,15.705374,0
7.88,2.88,0.86,-0.004,15.176963,1
10.1,0.81,1.64,-0.051,14.642426,1
7.76,1.41,1.12,0.015,13.506096,0
8.76,-0.13,1.41,1.551,9.329717,0
8.85,1.95,0.82,1.095,15.300174,0
7.63,5.5,1.18,0.924,16.331814,1
7.34,3.96,0.75,0.988,15.328476,0
8.19,0.64,0.87,0.955,12.2209,0
9.03,9.01,2.09,0.651,18.803623,0
7.94,2.25,1.64,0.199,14.700912,1
7.29,13.83,1.0,0.413,17.99411,1
8.83,4.79,1.82,1.1,17.231678,1
7.9,1.43,0.9,0.521,13.67668,0
6.05,29.31,0.92,0.479,18.385078,1
6.39,5.35,0.7,1.256,15.031769,0
8.93,10.74,1.17,0.628,19.085022,1
7.43,12.53,1.03,0.997,17.919754,1
8.8,4.98,1.46,1.036,17.286148,1
7.81,2.89,1.3,0.881,15.11449,0
7.07,6.81,0.88,-0.016,16.235735,1
7.78,6.94,0.99,0.142,16.986797,1
7.74,7.27,1.91,0.453,17.047672,1
6.91,2.67,0.6,1.678,14.042557,0
9.34,10.33,1.32,0.651,19.410501,1
6.64,6.22,0.82,0.127,15.608952,1
6.26,2.33,0.68,-0.164,13.09678,0
7.51,1.07,0.86,1.477,12.6569195,0
8.95,2.27,1.29,-0.055,15.730129,1
8.59,1.38,1.19,1.693,14.289396,0
8.26,5.12,1.1,0.528,16.80635,1
9.15,2.72,1.43,0.489,16.322844,1
7.85,4.43,0.88,0.047,16.08202,1
5.92,22.67,0.59,0.415,17.697258,1
7.77,2.05,1.22,1.41,14.32877,0
8.4,4.61,1.11,1.153,16.718504,0
7.3,3.35,0.88,1.632,14.925224,0
8.71,19.96,0.77,0.678,20.210802,1
8.83,21.22,1.32,0.761,20.463728,1
9.57,5.11,1.1,0.493,18.112104,1
9.36,9.64,0.96,0.656,19.280384,1
7.43,3.63,0.9,-0.031,15.229534,1
7.68,0.66,0.62,0.013,11.7777195,1
5.37,4.66,0.58,1.424,13.71193,0
7.45,6.53,1.36,0.188,16.524567,0
8.51,5.04,1.07,1.171,17.022152,0
7.64,1.5,0.68,-0.085,13.520456,0
5.0,25.54,0.46,0.186,17.036104,1
5.89,7.26,0.9,1.369,15.194683,0
5.35,38.35,0.78,0.395,18.268827,1
5.96,5.03,1.18,1.692,14.46784,0
7.65,9.26,0.61,0.393,17.483055,1
4.89,22.68,0.72,0.125,16.668215,1
7.41,5.5,0.75,1.11,16.111813,0
8.62,1.06,1.21,1.386,13.746529,1
7.96,4.84,1.0,0.019,16.384228,1
9.06,-8.54,8.67,0.121,18.717289,1
8.88,5.26,1.32,1.44,17.484928,0
9.91,-4.55,2.1,1.09,18.200058,1
9.21,3.96,1.23,0.492,17.198477,1
8.15,4.14,1.1,0.956,16.235,0
8.06,1.53,0.73,-0.048,13.983458,1
8.65,5.31,1.42,1.143,17.275473,1
8.83,1.81,1.77,0.962,15.118393,0
6.45,5.21,1.01,-0.08,15.034188,1
6.29,39.64,0.56,0.676,19.280666,1
8.3,1.01,1.22,0.964,13.321607,0
8.58,8.28,1.57,0.5,18.17015,1
8.08,1.42,1.06,1.606,13.841442,0
6.09,4.78,0.86,0.949,14.48714,0
7.93,2.33,0.87,1.59,14.766779,0
5.95,8.92,0.58,1.005,15.701824,0
9.54,15.44,1.05,0.733,20.483236,1
8.71,7.73,0.9,0.893,18.150898,1
